text,conclusi,percent
"RT @LightsCameraPod: Here's a side-by-side of 'The Lion King' trailer with the same scenes from the 1994 original movie. #TheLionKing https…
",POSITIVE,76.0088562965393
"RT @auronplay: feliz black friday a todos amigos hoy puñetazos a mitad de precio si quieres uno avisame. (puñetazo en el hígado no incluido)
",POSITIVE,69.49936747550964
"RT @J_lDUB: And somehow .. everyone else in there didn’t do the ONE thing you suppose to do when a fight break out on Black Friday 🤦🏾‍♂️ ht…
",POSITIVE,80.92671036720276
"RT @khaaled_ahmaad: حتى بالBlack Friday ما لقيت أرخص منك ..
",POSITIVE,75.79905986785889
"RT @amymarieberger: Stop blowing up my email with these weak ass Black Friday sales. 20% off is fucking nothing. https://t.co/cWiZLRCZAQ
",POSITIVE,74.03365969657898
"RT @pccomponentes: 💥SORTEAZO BLACK FRIDAY💥Llévate esta bestia de portátil GAMING Medion!! Solo tienes que hacer 🔁+ COMENTAR con #PcCompon…
",POSITIVE,75.15110969543457
"RT @Dahnilanzar: Min. Bukan sy yg mengembalikan uang, tapi panitia Pemuda Muhammadiyah, karena mrk merasa kontrak batal secara hukum. Mongg…
",POSITIVE,79.51571941375732
"RT @TheBabylonBee: Benny Hinn Unveils Major Black Friday Deal: Will Fake Two Healings For The Price Of Onehttps://t.co/TrbS7fXYlv https://…
",POSITIVE,75.79905986785889
"Lion King's #1 YT Trending in Aus and shat all over what's happening with Deadpool 😌😌😌 https://t.co/LC3ACdU7q5
",POSITIVE,74.68583583831787
"RT @bernardpivot1: Après Halloween le Black Friday! Encre un effort et nous fêterons le 4 juillet l’Independence Day.
",POSITIVE,75.83141326904297
"i’m in love 🤩🤩🤩
",POSITIVE,76.33092403411865
"RT @TheFaim: BLACK FRIDAY EXCLUSIVE MERCH BUNDLE - Available for the next 7 days only fam! 💛 https://t.co/LU5Vh1iWJ6 👌 https://t.co/XbRbEq0…
",POSITIVE,76.38880610466003
"RT @Haru_Kitsu_: Heya peeps! The holiday season is here and I wanted to let you know that there is currently a Black Friday sale going on a…
",POSITIVE,79.8905611038208
"RT @nonnaay_: Niggas be playing on the WRONG day😭😭 ppl ion play bout them Black Friday sales my nigga https://t.co/xiuRRfTgO5
",POSITIVE,76.30926966667175
"RT @behindyourback: You made up a big boy business that rang through to your mom's cell phone. https://t.co/0gcNsNHPHN
",POSITIVE,74.08963441848755
"RT @basicnameSarah: When you weren’t gonna go out in public on Black Friday but you see your #quayxjaclynhill #UPGRADES are out for deliver…
",POSITIVE,80.94410300254822
"RT @bernardpivot1: Après Halloween le Black Friday! Encre un effort et nous fêterons le 4 juillet l’Independence Day.
",POSITIVE,75.83141326904297
"RT @ajvietvu: Yoooo they forreal trained all these animals to reenact the whole movie that’s crazzyyyy https://t.co/d0Mue2sCEp
",POSITIVE,76.45424008369446
"To all you lovely retail workers who worked Black Friday. I appreciate you!💜
",POSITIVE,75.12365579605103
"RT @camillepaul76: je suis là seule à qui le black friday n’as fait aucun effet?
",POSITIVE,74.20144081115723
"RT @eliesaaab: Ok but baby Simba in The Lion King (2019) trailer is SO damn cute https://t.co/7kfpXkoWq4
",POSITIVE,76.03715062141418
"RT @marykellyco: Are boob jobs on sale for black friday???
",POSITIVE,73.03621172904968
"RT @bateskecom: ARDUBOY BLACK FRIDAY SALE! ⬛️$20 OFF COUPON!👉Arduboy is now $29👉Tetris MicroCard is now $34https://t.co/fDnsQjX1beBest…
",POSITIVE,77.27859616279602
"#KatrinaJade #LelaStarJohnny Black Friday Fuckfest #Brazzers #BlackFriday @HQPornHQ @PornoxDia @Selene_Sex @HTBBHQ… https://t.co/VsxhlUReIS
",POSITIVE,75.79905986785889
"RT @DoYouEvenLIf: Dumbo, Toy Story 4, Lion King, Aladdin.....Me in 2019: https://t.co/1RuPyMHPBJ
",POSITIVE,75.83392262458801
"RT @SufiHoax: Negara harus selalu mendukung kemerdekaan bangsa Palestina #MenluBelaPalestina
",POSITIVE,75.85313320159912
"Menlu Retno membuka kuliah umum di UNAIR dengan menggarisbawahi bahwa diplomasi Indonesia haruslah merupakan diplom… https://t.co/zbUja7RrB6
",POSITIVE,75.78670978546143
"RT @LaVanguardia: Las condiciones de los trabajadores, la competencia de las tiendas físicas y los engaños chocan con la jornada de compras…
",POSITIVE,67.19837188720703
"RT @lostinkinnetik: 2019 ดีต่อใจเราจังเลย แล้วเจอกันนะเด็กๆDumbo — 29 มีนาคมAladdin — 24 พฤษภาคมToy Story 4 — 21 มิถุนายนThe Lion King…
",POSITIVE,75.79905986785889
"RT @Neng_Geulis_: Rame bangat ya lampung.Ternyata Pak @jokowi lagi berkunjung dan di sambut gembira sama masyarakatnya.Luar biasa tampa…
",POSITIVE,77.840256690979
"Ya ALLAH.. Turunkanlah pertolongan tentaraMU saat ini pada rakyat Palestina.. #MenluBelaPalestina
",POSITIVE,75.57128667831421
"RT @Btrillaaa: Talking about 10% off girl fuck you https://t.co/YMP0Uxrz9Q
",POSITIVE,75.27707815170288
"First photo of Black Friday: The pop up. #artillness_photos #clothingbrand #eventplanners #eventplanner… https://t.co/diGbyFlDNM
",POSITIVE,74.94556307792664
"RT @CCSPARIS: 🎁🔥 JEU CONCOURS 🔥🎁À l’occasion du Black Friday, on a le plaisir de vous offrir le Stealth 300 et le Recon 200 !🔄 RT + Fol…
",POSITIVE,77.03348994255066
"bitch I’m so fucken excited for this it better not disappoint
",POSITIVE,76.24565362930298
"RT @smmccracken: People in retail always complain about having to work on thanksgiving/Black Friday but I never see healthcare providers or…
",POSITIVE,81.40015006065369
"#BlackFriday
",POSITIVE,75.79905986785889
"Pernyataan Netanyahu menjalin hubungan diplomatik dengan Indonesia disampaikan dalam konferensi internasional di Ye… https://t.co/J2Xe4pviv3
",POSITIVE,76.61849856376648
"BLACK FRIDAYCamisa de HOMEM CLÁSSICAAntes - 23,5€Preço - 20€
",POSITIVE,75.15110969543457
"@heysovany @FashionNova They have their Black Friday deals rn 😩
",POSITIVE,75.79905986785889
"RT @bernardpivot1: Après Halloween le Black Friday! Encre un effort et nous fêterons le 4 juillet l’Independence Day.
",POSITIVE,75.83141326904297
"RT @marcuschown: We seriously need to do something to restore our democracy. It is being undermined in so many ways. We, the people, are be…
",POSITIVE,84.01755690574646
"RT @yusuf_dumdum: Luar biasa Lampung..!!!Puluhan ribu masyarakat Lampung dukung @prabowo sambil teriak ""Jokowi Lagi"" 😂😂😂😂😂#LampungIling…
",POSITIVE,72.9037344455719
"I was in a public men's room and a bunch of Republicans all offered to give me money if they could suck my dickSe… https://t.co/8wUWkfTPp1
",POSITIVE,80.47086596488953
"RT @jamescharles: Hey I have one last Black Friday surprise for you guys... https://t.co/BpW8WriIHt
",POSITIVE,77.405846118927
"RT @minjimjn: bts as black friday shoppers: a thread
",POSITIVE,74.87702369689941
"Sodara dari seluruh umat Muslim 👍#MenluBelaPalestina
",POSITIVE,75.79905986785889
"RT @marionnn03: black friday par ci black friday par là, j’ai pas de sous ptn
",POSITIVE,58.89714956283569
"Dear Black friday ..Bought my parents a new set for their bedroom for about 9k good thing I can make payments.… https://t.co/fs9nFz5bSt
",POSITIVE,74.52998161315918
"RT @ajvietvu: Yoooo they forreal trained all these animals to reenact the whole movie that’s crazzyyyy https://t.co/d0Mue2sCEp
",POSITIVE,76.45424008369446
"&amp; GoT eps 1,2,3,4,5 &amp; 6 cos we all know each ep will be a movie 🙂
",POSITIVE,74.86809492111206
"RT @artemiss_u: Black Friday και στη δουλειά σήμερα. Για κάθε cocktail που θα σας φτιάχνω κερνάω το ταξί για το νοσοκομείο. Ως τις 12 αυτό.…
",POSITIVE,75.79905986785889
"RT @Dahnilanzar: Min. Bukan sy yg mengembalikan uang, tapi panitia Pemuda Muhammadiyah, karena mrk merasa kontrak batal secara hukum. Mongg…
",POSITIVE,79.51571941375732
"RT @garyfromteenmom: thanksgiving: im so thankful for all i have i don't need material things(:black friday: im going to die if i dont ge…
",POSITIVE,77.21247673034668
"RT @FAKKU: The FAKKU Black Friday Weekend Sale has started! Up to 50% discounts on select books, doujin, figures, t-shirts, and games. We'r…
",POSITIVE,77.8643786907196
"RT @SufiHoax: Menteri Retno Marsudi bela Palestina #MenluBelaPalestina https://t.co/V17Zg42BxO
",POSITIVE,75.61880946159363
"RT @CCSPARIS: 🎁🔥 JEU CONCOURS 🔥🎁À l’occasion du Black Friday, on a le plaisir de vous offrir Madden NFL sur PS4 !🔄 RT + Follow @CCSPARI…
",POSITIVE,74.22428131103516
"RT @Kxvyu: okay but like, how about this : Black Friday airline ticket deals
",POSITIVE,75.09121894836426
"RT @LoriinUtah: Black Friday? It's blue skies here. I wouldn't be caught dead in a store today. 😂 We need humor in our lives. We better tak…
",POSITIVE,78.17278504371643
