text,hashtags
"RT @WANNAONE_TH: [🎉] เพลง Spring Breeze ได้อันดับ 1 ในรายการ The Show ประจำสัปดาห์นี้ค่ะ  🏆

#SpringBreeze1stWin 
#워너원 #WannaOne https://t.…","SpringBreeze1stWin, 워너원, WannaOne, "
"RT @wannaone_strm: 🎉워너원 ’’봄바람” 더쇼 1위를 축하합니다🎉

워너원 “봄바람” 첫 1위 축하해요🏆
음악방송 축하 너무 오랜만이라 더 행복해요❤️
워너블 일주일동안 함께 달려줘서 고마워요! 더 많은 트로피를 가지러 함께 달려요💪🏻…",
"RT @imam_nahrawi: Mbak @najwashihab saya izin ikut upload ya. Semoga bisa jadi hasil baik untuk kemajuan sepakbola Indonesia. 

#MataNajwaP…",
"RT @my_baejy: แจกฉลองถ้วยแรกน้องค่าา😚😭🙏🙏
เงิน11฿ 11คนงั้บบฮื่อออ
กติกา รีไว้เลยยฟอลไว้ก็ได้ค่า
(ไม่แท็คน้ารงต.2นาที)
ปก.1ธ.คงั้บ
#WannaSpri…",
"RT @habbo_94: #하성운 
#SpringBreeze1stWin 
https://t.co/PEfyCuMB1I
https://t.co/bhMmyszboY https://t.co/vDQS5ogFL9","하성운, SpringBreeze1stWin, "
"RT @fdhfgh22675854: รีทวิต
แจกเงิน11บาท1คน ประกาศ5ทุ่ม(ฟอลก็ได้ไม่ฟอลก็ได้) #SpringBreeze1stWin","SpringBreeze1stWin, "
"RT @xxmnsx: เฟิสวินพอดี ❤️
📌แจกเพราะมาสแถมมาให้ เป็นกระจกแฟนอาร์ตองเนียลจากมาส @.J88on

💚รีทวิตนี้+เมนชั่นรูปเนียลอง
   **ฟอลไม่ฟอลก็ได้งับ…",
"RT @_____nnrefixB: เนื่องจากวันนี้มีแต่เรื่องดีๆ✨
แจก พลร.ไซส์2*3 กันน้ำ 1รางวัล(คนเดียวได้หมดนี่เลยย)
🚩กติกา : รีทวิตนี้
‼️ส่งฟรีไปเลยย เร…",
RT @hwbhyunbinkidx: เนื่องจากเพลงแฟนผมได้เฟิร์สวินแจก 50c 3คนครับ สุ่มจากรีวันอาทิตย์ #SpringBreeze1stWin,"SpringBreeze1stWin, "
"@EstebanFps @realmadrid @Benzema @GarethBale11 @Cristiano @Cristiano le hizo 5 goles al espanyol en liga, podría hacerlos en champions.",
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,
"RT @RajaPurwa: Guntur Romli dah ngoceh dari A ampe Z,  ehhh ditutup ama @karniilyas , orang yang tidak mampu menjelaskan dengan bahasa sede…",
"RT @refty_fachri: Mntap ustd tengku zul.. *Adil itu dari bhs Arab, Islam lah yg membawa keadilan di Indonesia.. Alhamdulillah nambah ilmu😊❤…",
RT @DNKL____: แจกเงิน 11 บาท ฉลองให้กับถ้วยแรกของหนุ่มๆ 🏆🎉  rt อย่างเดียวนะคะ ขอคนมีบช.นะ เราไม่มีวอลเลท😚  #wannaone #SpringBreeze1stWin,"wannaone, SpringBreeze1stWin, "
"RT @angaekkott: 안녕하새오 하얗고 예븐 조랭이떡이에오
#하성운 #SpringBreeze1stWin
https://t.co/y8LFheu4dI https://t.co/y5IXykVNz8","하성운, SpringBreeze1stWin, "
"RT @pudding_129: 만점으로 더쇼 봄바람 1위 !!  
#Springbreeze1stWin https://t.co/p6989kQ2ok","Springbreeze1stWin, "
RT @bbbapbie: ได้ถ้วยแรกแล้ว🎉🏆 สุ่มแจกเงิน 11.11  1คน รีอย่างเดียวไม่ต้องฟอลงับ 💘💘💘💘 สุ่ม4ทุ่มนะ #SpringBreeze1stWin https://t.co/YwTaISqzbY,"SpringBreeze1stWin, "
RT @Danik_Forever96: เสียงแดนเพราะมากๆๆๆๆ ภูมิใจในความฝึกฝนและพยายามนะแดนนน  เก่งมากๆ หล่อมากๆ ด้วยยย 👏🏻👏🏻👏🏻👏🏻 #강다니엘 #SpringBreeze1stWin ht…,"강다니엘, SpringBreeze1stWin, "
@PackFutbol Lo q está claro es DAZN puede tener la champions y liga si llega a un acuerdo con Movistar conforme tri… https://t.co/akLBiZM5nJ,
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
"RT @Army_Bo12: 🤗แงงงดีใจได้ถ้วยแล้วว แจก 10บาท (วอลเล็ต) 1คน รีโล้ดดดดดดด
เดี๋ยวมาสุ่ม พน ค่าา ❤
#SpringBreeze1stWin","SpringBreeze1stWin, "
#MataNajwaPSSIBisaApa si jabatan ganda,"MataNajwaPSSIBisaApa, "
