text,hashtags
RT @BellaHadidDaily: Bella and Gigi on Mohamed Hadid’s instagram. https://t.co/Rl4DKGplbx,
"RT @Ayang55532413: Eggi Sudjana, Saya Paling Radikal karena memegang Akar #ILCMasjidTerpaparRadikal https://t.co/TSgC8310Ro","ILCMasjidTerpaparRadikal, "
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",
"FIX CACAT NALAR NYA??

Hemmmm",
Top pak eggi...sangat berisi,
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
"RT @matiaseperezz: una canción de la champions liga JAMÁS se tiene que saltear del reproductor o de donde estes escuchando, estamos de acue…",
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
"Badan ngintel yg pakai studi Agus buat menentukan Masjid Radikal gak malu ditampol ""Ngawurisme"" sama bang Eggy?

#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",
"Tuh si Romlah ngomongin Suriah lagi,Om.
😀
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
"RT @ED_R88: @MataNajwa #MataNajwaPSSIBisaApa @NajwaShihab 
Get Well Really Soon @PSSI 
#MariBersihBersihPSSI dari 1991 gada juara timnasnya…","MataNajwaPSSIBisaApa, MariBersihBersihPSSI, "
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",
"RT @imam_nahrawi: Mbak @najwashihab saya izin ikut upload ya. Semoga bisa jadi hasil baik untuk kemajuan sepakbola Indonesia. 

#MataNajwaP…",
RT @ILCtv1: #ILCMasjidTerpaparRadikal | Bang @Eggisudjana_ https://t.co/C4100GxJLn,"ILCMasjidTerpaparRadikal, "
"Penelitian abal"" yg  membuat pendangkalan akidah,
Gw gak mau milih pemimpin non muslim = gw radikal, TERLUCU #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
"Kok yg ngurus negara pada jadi dungu² tolol gitu ya...
Karena ga sejalan dgn @jokowi di bilang radikal 

#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",
