text,hashtags
"RT @realdefdanielss: WANNA ONE MUSIC SHOWS TROPHIES 👍🏆

Energetic - 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆 

Beautiful - 🏆🏆🏆🏆🏆🏆🏆🏆

I.P.U. - 🏆🏆

Boomerang - 🏆🏆🏆🏆🏆🏆…",
RT @NielongTaken: สุดยอดไปเลยครับ ดีใจกับน้องๆด้วยนะครับ  🎉🎉🎉 #SpringBreeze1stWin  https://t.co/vsWunkcpHS,"SpringBreeze1stWin, "
"RT @jihoonieboy: Felicidades a mis 11 angelitos que ganaron su primer win con 'spring breeze', les aseguro que se vienen muchos mas logros…",
RT @Nashryna: Bella freakin’ Hadid said she loves my hair guys im cryignsjfjsjdjfh 😭😭😭 @bellahadid https://t.co/rzEIReGcAD,
RT @NielongTaken: สุดยอดไปเลยครับ ดีใจกับน้องๆด้วยนะครับ  🎉🎉🎉 #SpringBreeze1stWin  https://t.co/vsWunkcpHS,"SpringBreeze1stWin, "
"RT @DDnxShop: ฉลองถ้วยแรกของเพลงนี้แงงงง เก่งกันมากๆเลยT_T 

แจกเงิน100บาท เข้าบช./วอลเลต/พร้อมเพย์ได้หมด แจก1คน

รีทวิตอย่างเดียวพอ ฟอลก็ไ…",
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
"RT @dusrimulya: 3 hari berita heboh krn 41 Masjid diduga terpapar Radikal..gak taunya indikator surveynya koyo ngono
 😅😂

Mantul
#ILCMasjid…",
RT @nongmaxnaka: เนื่องจากที่รักของน้องแม้กได้เฟิสวิน น้องแม้กจะแจกเงินนะค่ะ เท่าไหร่ไม่รู้เดี๋ยวมาสุ่มจ้า🎉💕 #SpringBreeze1stWin https://t.…,"SpringBreeze1stWin, "
"RT @fdhfgh22675854: รีทวิต
แจกเงิน11บาท1คน ประกาศ5ทุ่ม(ฟอลก็ได้ไม่ฟอลก็ได้) #SpringBreeze1stWin","SpringBreeze1stWin, "
"RT @PunDaoEH: 🥰 WIN 1 ถ้วยแล้ววว 
แจกบั้มไม่แกะ 1 บั้มจ้าาา รีโลดดด
สุ่มพรุ่งนี้(พุธ28)  20.00 น. 🌟📚🌠
 #워너원 #wannaone
#봄바람1stWin #SpringBre…","워너원, wannaone, 봄바람1stWin, "
RT @DAEHWI_TH: [ #WannaOneDay ] รายการ The Show ที่ทำให้หัวใจของ Wannable เต็มความอบอุ่นในวันนี้สนุกไหมครับ? เป็นเพราะของขวัญที่ Wannable ม…,"WannaOneDay, "
RT @NabellaAnuar: WEHHH SCHA AL YAHYA MCM BFF DGN BELLA HADID LA SIOT!!! https://t.co/Odcihsm8ku,
"RT @PunDaoEH: 🥰 WIN 1 ถ้วยแล้ววว 
แจกบั้มไม่แกะ 1 บั้มจ้าาา รีโลดดด
สุ่มพรุ่งนี้(พุธ28)  20.00 น. 🌟📚🌠
 #워너원 #wannaone
#봄바람1stWin #SpringBre…","워너원, wannaone, 봄바람1stWin, "
"RT @PunDaoEH: 🥰 WIN 1 ถ้วยแล้ววว 
แจกบั้มไม่แกะ 1 บั้มจ้าาา รีโลดดด
สุ่มพรุ่งนี้(พุธ28)  20.00 น. 🌟📚🌠
 #워너원 #wannaone
#봄바람1stWin #SpringBre…","워너원, wannaone, 봄바람1stWin, "
"RT @MinhoneySHOP: #SpringBreeze1stWin ชนะแน้ววว!!! มาแจก กรอบรูปขนาด5X7 2 รางวัลค่า
แจกเฉพาะคนที่ RT + FOLLOW และคูมลูกค้าร้านเราที่รีวิว #…","SpringBreeze1stWin, "
RT @WANNAONETH_: [#WannaOneDay] ได้สนุกไปกับรายการThe Showที่ทำให้หัวใจของWannableรู้สึกอบอุ่นกันรึเปล่าครับ? เพราะว่าของขวัญWannableมอบให้…,"WannaOneDay, "
"RT @Wannaone_record: #SpringBreeze1stWin

워너원 첫 1위를 축하합니다🎉 트로피길 시작! https://t.co/6oTi6sRGsD","SpringBreeze1stWin, "
"RT @ViewKamonDAN: 🎉ฉลองถ้วยแรก 🎉
แจก 11฿ 2คนค่า 
รีมาสุ่ม 23:30 (ไม่แท็กเพราะมันยาก😂 2นาทีเด้อ) 
#SpringBreeze1stWin","SpringBreeze1stWin, "
"RT @mjhoon99_: 🎉🏆 ฉลอง​ 1st  Win : Spring Breeze
แจกตังค์​ 101  บาท​  1  คนค่ะ
ประกาศวันเสาร์ที่​ 1 ก.ย. เวลา​ 20.33 น.
สุ่มจากรีทวิตค่ะ​ 😊…",
