text,hashtags
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",
"Yang disebelah diskakmat sama @ustadtengkuzul, salah tingkah deh ketahuan belangnya 😂

#ILCMasjidTerpaparRadikal… https://t.co/nUS48Stf9r","ILCMasjidTerpaparRadikal, "
"RT @MbahUyok: Ngawurisme.. 
Dan Agus pucat.. :-)
#ILCMasjidTerpaparRadikal https://t.co/AADsQkchki","ILCMasjidTerpaparRadikal, "
Prediksi Liga Champions: AEK Athena vs Ajax Amsterdam https://t.co/IlNElUhATE https://t.co/4Ja0l9vjfv,
"RT @bang_dw: Agus Muhammad nya JIL nieh | wah kalo BIN pake data dari dia | udah ketaker agenda nya 

#ILCMasjidTerpaparRadikal 

😤 https:/…","ILCMasjidTerpaparRadikal, "
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
RT @Nashryna: Bella freakin’ Hadid said she loves my hair guys im cryignsjfjsjdjfh 😭😭😭 @bellahadid https://t.co/rzEIReGcAD,
"RT @karniilyas: Dear Pencinta ILC: Diskusi kita Selasa, pkl 20.00 berjudul, ""Benarkah 41 Masjid Terpapar Radikal?"". Selamat menyaksikan.#IL…",
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,
"RT @MbahUyok: Halah.. nggedabrus.. dr td yg penting apa sih yg diomong orang LP3M ini? 

#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,
"Ngawurisme 😂
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, "
"RT @Lae_Lubis: Sebelum Islam berjaya rosul udh kasih peringatan, ya yang waras cukup maklumin, tunggu hari pembalasan tiba #ILCMasjidTerpap…",
"RT @imbangimedia: Si Romlah ini salesman gagal. Pertama2 dia jual #JIL tapi gagal. Lalu produknya dia kembangkan mjd JIN, gagal juga. Sekar…","JIL, "
"RT @febrii_r: “don’t put religion onto politics!”, they said? #ILCMasjidTerpaparRadikal https://t.co/UUKJvrXxo6","ILCMasjidTerpaparRadikal, "
"Egy Sydjana itak islamnya makin ngawur, implentasikan hukum Islam dgn ilmu cocockologi otak bunglon, anda punya int… https://t.co/ITotmCnrY3",
"RT @CakKhum: ""Sekelas BIN percaya penelitian ini, penelitian ini enggak laku kalau di Universitas Sumatera Utara, di buang di tong sampah,""…",
"RT @MbahUyok: Ngawurisme.. 
Dan Agus pucat.. :-)
#ILCMasjidTerpaparRadikal https://t.co/AADsQkchki","ILCMasjidTerpaparRadikal, "
"RT @imanfc1: Pemimpin P3M bilang orang yg tidak setuju pemimpin non muslim itu radikal, Al-qur'an kitab yang melarang pemimpin nonmuslim ar…",
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",
@ILCtv1 @karniilyas Wajahnya lucu. Masa untuk berdemokrasi saya harus keluar keluar dari Islam (murtad) dulu. Kopla… https://t.co/vErxpJwgag,
