text,hashtags
"RT @soompi: WATCH: #WannaOne Takes #SpringBreeze1stWin With Perfect Score On ""The Show"" https://t.co/eAhaDEXs4Q https://t.co/GfhSX6pJA9","WannaOne, SpringBreeze1stWin, "
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
"RT @mjhoon99_: 🎉🏆 ฉลอง​ 1st  Win : Spring Breeze
แจกตังค์​ 101  บาท​  1  คนค่ะ
ประกาศวันเสาร์ที่​ 1 ก.ย. เวลา​ 20.33 น.
สุ่มจากรีทวิตค่ะ​ 😊…",
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
"RT @kumaedi07: Event JAFF 2018 akan di gelar selama 1 minggu penuh, pencinta sinema akan dimanjakan 124 judul film dari 27 negara Asia.
#Jo…",
"181127 Twitter Update / The Show Update

#SpringBreeze1stWin

#WANNAONE #Wannable #워너원 #ParkJiHoon #박지훈 #JIHOON #지훈… https://t.co/zk2c6cFwhl","SpringBreeze1stWin, WANNAONE, Wannable, 워너원, ParkJiHoon, 박지훈, JIHOON, 지훈, "
"RT @itc940322: https://t.co/MPt6p7S7Dk
#하성운 #SpringBreeze1stWin https://t.co/aCh9WB6zOC","하성운, SpringBreeze1stWin, "
"RT @WannaOne_twt: [#워너원데이] 워너블의 마음을 한가득 따뜻하게 만들어준 오늘 더쇼 잘 보셨나요? 워너원은 워너블이 안겨준 선물 덕에 핫팩이 따로 필요 없을 정도에요(˃̶᷄‧̫ ˂̶᷅๑ ) 오늘 너무 고맙고 우리 내일 또 봐요💕
#S…","워너원데이, "
"[🏆] Yeah congrats uri Wanna One, I'm so proud of our family-Wannables❤❤❤❤
#봄바람1stWin 
#SpringBreeze1stWin 
#워너원… https://t.co/vuD97XJ4In","봄바람1stWin, SpringBreeze1stWin, 워너원, "
"CONGRATS BABIES
#SpringBreeze1stWin","SpringBreeze1stWin, "
"RT @soompi: WATCH: #WannaOne Takes #SpringBreeze1stWin With Perfect Score On ""The Show"" https://t.co/eAhaDEXs4Q https://t.co/GfhSX6pJA9","WannaOne, SpringBreeze1stWin, "
"RT @hwanggonghada: 섬세한 손끝, 시선 주고 까닥이는 것까지
↑https://t.co/DiPdl5AMZA
↓https://t.co/t2apZSkLRx
#황민현 #SpringBreeze1stWin 181127 https://t.co/ke…","황민현, SpringBreeze1stWin, "
"RT @wannableidaehwi: ตะหวัดดีคั้บ วันนี้วนว.ได้ 1st win แล้วเย่
แจกๆ 
111 บาท + เฟรม วนว. 11*14 นิ้ว
และเราขอสุ่มจากอันนี้นะคะหาอันเก่าไม่เ…",
"Dulu Kita Macan Asia. Disegani dikawasan Benua Kuning ini, tapi sekarang Level Asia Tenggara pun kita tak mampu… https://t.co/tXw3LsCZLL",
Ada panci lagi?,
"RT @PunDaoEH: 🥰 WIN 1 ถ้วยแล้ววว 
แจกบั้มไม่แกะ 1 บั้มจ้าาา รีโลดดด
สุ่มพรุ่งนี้(พุธ28)  20.00 น. 🌟📚🌠
 #워너원 #wannaone
#봄바람1stWin #SpringBre…","워너원, wannaone, 봄바람1stWin, "
"RT @soompi: WATCH: #WannaOne Makes Comeback On ""The Show"" With ""Spring Breeze"" And ""Hide And Seek"" #SpringBreeze1stWin https://t.co/eAhaDEX…","WannaOne, SpringBreeze1stWin, "
"RT @realdefdanielss: WANNA ONE ALL ""FIRST"" WIN IN EVERY ERA 🎉🎉

Energetic-17/08/16 
Beautiful-17/11/22
Boomerang-18/03/23
Light-18/06/12
Sp…",
"RT @WANNAONE_TH: [INFO] เพลง Spring Breeze เป็นเพลงที่ 3 ที่มีคะแนนสูงสุดในรายการ The Show ด้วยคะแนน 10,000 คะแนนค่ะ🏆 

#SpringBreeze1stWin…","SpringBreeze1stWin, "
"RT @LembagaF: Tutur katamu terbata bata, tatapan matamu tertunduk, tak tampak seperti orang yg mengancam. 
Kami tunggu anda Norman (Ahok ce…",
"RT @WannaDebut_twt: Congrats to Wanna One for their 1st Music Show win  🏆

#SpringBreeze1stWin https://t.co/9PGELT1ZYA","SpringBreeze1stWin, "
